Transition,Estimated Frequency (GHz),Dipole Moment (D)
"(N=2-,J=1.5,F=2,M=2)->(N=1+,J=1.5,F=2,M=2)",39.8901444,0.25
"(N=2-,J=1.5,F=2,M=1)->(N=1+,J=1.5,F=2,M=1)",39.8901456,0.125
"(N=2-,J=1.5,F=1,M=1)->(N=1+,J=1.5,F=2,M=1)",39.8909375,0.073
"(N=2-,J=1.5,F=1,M=0)->(N=1+,J=1.5,F=2,M=0)",39.8909389,0.085
"(N=2-,J=1.5,F=2,M=1)->(N=1+,J=1.5,F=1,M=1)",39.8919191,0.06
"(N=2-,J=1.5,F=2,M=0)->(N=1+,J=1.5,F=1,M=0)",39.8919208,0.069
"(N=2-,J=1.5,F=1,M=1)->(N=1+,J=1.5,F=1,M=1)",39.892711,0.225
"(N=2-,J=1.5,F=1,M=0)->(N=1+,J=0.5,F=0,M=0)",39.9169133,0.598
"(N=2-,J=1.5,F=2,M=0)->(N=1+,J=0.5,F=1,M=0)",39.9174961,0.602
"(N=2-,J=1.5,F=2,M=1)->(N=1+,J=0.5,F=1,M=1)",39.9174962,0.521
"(N=2-,J=1.5,F=1,M=1)->(N=1+,J=0.5,F=1,M=1)",39.9182881,0.289
